tiempo,dato1a.n_seg,dato1b.n_seg,dato1c.n_seg,dato2a.n_seg,dato2b.n_seg,dato2c.n_seg,dato3a.n_seg,dato3b.n_seg,dato3c.n_seg,dato4a.n_seg,dato4b.n_seg,dato4c.n_seg,dato5a.n_seg,dato5b.n_seg,dato5c.n_seg,dato6a.n_seg,dato6b.n_seg,dato6c.n_seg,dato7a.n_seg,dato7b.n_seg,dato7c.n_seg,dato8a.n_seg,dato8b.n_seg,dato8c.n_seg,dato9a.n_seg,dato9b.n_seg,dato9c.n_seg,dato10a.n_seg,dato10b.n_seg,dato10c.n_seg,dato11a.n_seg,dato11b.n_seg,dato11c.n_seg,dato12a.n_seg,dato12b.n_seg,dato12c.n_seg,dato13a.n_seg,dato13b.n_seg,dato13c.n_seg,dato14a.n_seg,dato14b.n_seg,dato14c.n_seg,dato15a.n_seg,dato15b.n_seg,dato15c.n_seg,dato16a.n_seg,dato16b.n_seg,dato16c.n_seg,dato17a.n_seg,dato17b.n_seg,dato17c.n_seg,dato18b.n_seg,dato18c.n_seg,dato19b.n_seg,dato19c.n_seg,dato20a.n_seg,dato20b.n_seg,dato20c.n_seg,dato18a.n_seg,dato19a.n_seg,mean
11,2,1,1,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,3,2,2,0,0,0,0,0,3,1,0,0,3,3,3,2,0,3,0,3,1,0,0,2,2,1,0,1,0,0,1,1,3,3,0,1,0,3,1
12,0,3,3,0,2,0,3,0,0,2,0,0,1,0,2,3,2,1,0,3,0,3,3,0,3,1,0,0,2,1,3,0,1,1,3,3,3,4,0,2,0,3,0,0,0,0,2,2,0,0,1,0,1,3,3,3,0,1,1,3,1.35
13,0,4,1,1,2,0,3,0,0,2,2,0,1,1,3,3,3,0,0,2,0,2,3,1,1,0,0,0,0,0,2,1,0,2,3,2,3,3,0,1,1,3,1,1,0,0,2,1,0,0,1,1,1,1,2,2,2,0,1,3,1.25
14,0,1,2,1,1,0,2,0,0,3,0,0,1,3,3,2,3,0,0,3,0,3,2,1,2,1,2,1,0,1,3,1,1,2,2,3,2,3,0,3,1,3,1,0,0,3,3,2,0,0,1,1,2,1,3,2,0,1,1,1,1.4
15,0,3,2,0,2,0,3,0,0,0,2,0,0,0,3,3,3,0,0,2,0,2,3,2,2,1,0,1,1,0,2,2,3,2,3,2,1,3,2,3,0,2,1,1,0,3,2,2,0,2,0,0,1,3,3,3,1,0,0,3,1.416666667
16,2,2,1,2,2,0,3,0,0,0,2,0,2,2,3,2,2,1,0,3,0,2,3,2,2,1,2,2,2,0,3,3,3,1,3,3,2,3,0,3,1,3,2,1,0,0,2,3,2,1,2,2,1,2,2,3,1,1,0,2,1.666666667
17,2,3,3,0,1,0,2,0,0,2,2,0,2,2,2,3,3,0,0,2,0,2,2,3,2,0,1,1,1,0,3,3,3,1,2,2,3,3,0,2,2,3,1,0,0,3,2,2,3,1,2,2,2,3,3,1,2,3,1,3,1.7
18,1,3,3,2,3,1,1,0,1,2,2,0,3,3,1,3,2,1,0,3,1,3,2,2,3,1,1,2,2,2,2,3,3,3,3,3,2,3,1,3,3,2,1,2,0,1,3,2,1,1,0,1,2,3,2,3,3,3,1,2,1.933333333
19,2,2,3,3,1,1,2,0,0,3,3,0,0,3,4,2,2,2,1,2,2,3,3,3,1,2,1,0,3,0,2,3,3,3,2,2,0,1,1,3,2,3,2,1,0,3,2,2,3,2,1,2,3,2,3,2,2,2,1,3,1.916666667
20,1,3,3,1,2,1,2,0,0,0,3,0,2,3,3,3,3,0,0,3,0,2,2,1,3,3,3,3,1,1,3,2,1,2,2,3,0,3,2,2,3,3,2,1,0,2,3,3,3,3,1,1,1,2,2,3,2,3,1,1,1.866666667
21,2,2,3,3,3,2,2,0,2,3,3,0,2,3,3,2,3,1,0,2,0,3,3,1,2,2,2,2,3,0,3,3,3,2,2,2,2,1,1,3,3,2,2,1,0,3,2,2,2,3,2,1,2,3,2,3,3,2,0,2,2.016666667
22,1,3,4,3,2,1,2,0,0,3,3,0,2,3,2,3,3,3,0,3,0,2,3,3,3,3,3,3,3,2,2,3,3,0,1,2,2,3,2,3,2,3,1,2,0,2,2,3,3,2,0,0,3,2,3,3,3,3,1,3,2.133333333
23,2,2,3,2,2,2,1,0,3,2,3,0,2,2,3,3,2,3,0,2,1,3,2,3,3,3,3,3,3,2,2,2,2,1,2,3,3,3,2,2,3,2,3,2,0,2,3,2,3,3,0,3,2,2,2,1,2,2,2,1,2.116666667
24,2,3,3,3,3,1,2,0,1,2,3,0,1,2,2,0,2,3,1,3,0,3,2,2,2,2,3,2,3,1,3,3,3,3,1,2,1,3,0,3,3,3,2,3,0,3,2,3,2,3,3,3,3,3,3,2,3,3,2,3,2.183333333
25,2,2,2,2,3,1,3,0,1,1,2,0,2,1,3,2,2,1,2,2,0,2,3,3,3,3,2,3,1,0,2,2,3,3,2,2,2,2,2,2,2,2,3,2,0,3,2,2,3,2,1,3,3,2,3,3,3,3,3,1,2.033333333
26,0,1,3,3,2,3,3,0,1,3,3,0,3,2,3,2,3,3,2,2,0,3,2,2,2,2,3,2,3,1,3,2,3,2,2,3,1,3,2,3,3,2,2,3,0,2,3,2,1,3,3,3,2,2,2,2,3,2,2,3,2.183333333
27,1,1,0,2,3,2,3,0,3,2,2,0,2,3,2,3,1,3,0,3,0,3,3,3,2,3,2,3,3,1,2,3,2,3,0,2,2,2,3,2,2,3,3,2,0,3,2,3,2,2,2,3,3,2,2,3,2,2,2,3,2.1
28,2,0,2,3,2,0,3,0,0,3,2,0,1,2,3,2,3,3,3,2,0,1,2,2,0,3,3,3,1,0,3,2,3,1,0,2,1,3,2,3,3,2,2,3,1,2,2,2,2,3,3,2,3,3,2,2,1,3,3,2,1.95
29,0,1,1,2,3,2,1,0,2,3,2,0,3,3,2,3,3,2,2,3,2,2,2,3,2,2,2,2,3,1,2,3,3,2,1,2,0,2,3,2,2,3,2,2,0,3,3,3,3,2,3,3,2,2,3,3,0,2,1,3,2.066666667
30,2,1,2,3,2,1,3,0,2,2,2,0,3,3,1,2,2,2,3,2,0,3,2,2,3,3,3,2,3,0,2,2,2,3,2,3,0,3,3,2,3,2,3,3,2,2,2,2,2,3,3,3,3,2,2,3,2,1,2,3,2.15
31,0,0,3,2,3,2,2,1,3,3,2,1,2,3,3,2,3,3,2,2,1,2,3,3,1,3,2,3,4,0,2,2,3,3,2,2,0,2,2,3,2,2,2,2,2,3,3,2,3,2,1,2,2,2,3,1,3,3,2,2,2.15
32,2,0,2,3,2,3,3,0,3,1,3,0,3,2,2,2,3,3,3,3,2,3,2,3,2,2,3,2,3,0,3,3,2,2,1,2,1,2,2,2,3,2,2,2,1,2,2,3,3,3,3,3,2,2,2,1,3,2,2,3,2.183333333
33,1,0,1,2,2,3,2,0,2,3,1,0,2,2,1,2,3,2,3,2,1,1,2,2,3,3,2,3,3,1,2,2,2,1,0,2,0,1,3,3,2,3,3,3,2,3,2,2,2,3,0,2,3,3,2,3,1,3,2,1,1.933333333
34,1,0,0,2,3,3,3,1,3,2,3,1,2,3,2,2,1,2,3,3,1,1,2,0,2,2,3,3,2,0,2,3,2,2,0,1,1,0,3,2,3,2,2,2,0,2,3,2,3,3,2,2,2,2,2,3,3,2,2,2,1.933333333
35,0,0,0,3,2,2,0,0,3,3,2,0,2,2,0,2,3,3,2,2,0,1,3,3,2,2,2,1,3,1,2,2,2,3,0,1,0,0,2,2,3,2,3,3,3,2,2,3,3,2,3,3,3,2,3,1,2,2,3,3,1.9
36,1,0,0,2,2,3,3,0,2,2,2,0,2,3,0,2,3,2,3,3,2,0,2,3,3,3,3,2,1,0,0,2,3,1,0,1,0,1,2,1,2,2,2,2,2,3,2,2,1,3,3,3,3,3,2,3,0,2,2,3,1.833333333
37,1,0,0,2,3,2,2,2,3,3,3,2,3,3,0,3,2,2,2,2,1,1,1,2,2,2,2,3,3,2,2,1,2,2,1,0,0,0,2,2,2,2,2,3,2,2,2,3,3,2,3,2,2,3,2,1,0,3,1,2,1.883333333
38,0,0,0,3,2,3,1,3,3,2,3,1,1,2,0,2,3,2,3,3,0,0,2,3,1,3,3,1,2,2,2,1,2,3,0,1,1,0,2,2,2,2,3,2,2,3,3,2,3,3,2,3,2,2,3,3,1,2,2,2,1.916666667
39,1,0,0,2,2,3,2,3,2,2,3,2,3,3,0,3,3,3,2,2,3,0,3,2,1,2,2,2,3,0,2,1,3,1,0,0,0,0,1,1,3,0,2,3,2,2,1,2,1,2,2,1,3,3,2,2,2,2,3,2,1.8
40,0,0,0,2,2,2,3,2,3,1,2,1,2,3,0,2,3,3,2,3,2,0,2,2,1,3,2,1,2,1,2,0,3,1,0,1,0,0,2,2,2,2,2,2,3,3,3,3,2,2,3,1,3,2,2,2,2,0,2,2,1.766666667
41,1,0,0,1,3,3,3,3,2,1,3,3,2,2,0,2,2,3,3,2,3,0,2,2,2,2,3,2,2,1,2,0,2,1,0,0,0,0,2,1,2,2,3,2,2,3,2,2,1,2,3,3,2,1,3,2,0,3,3,3,1.833333333
42,2,0,0,2,1,2,2,3,2,0,3,3,3,2,0,3,3,2,2,2,2,0,2,3,1,2,2,2,2,1,2,0,3,0,1,0,0,0,2,0,2,1,2,3,2,2,3,2,1,2,2,3,2,1,2,0,3,1,2,3,1.683333333
43,1,0,0,2,2,2,1,2,2,0,2,3,1,2,0,2,1,3,3,3,3,0,2,2,1,3,3,1,2,0,1,0,3,0,0,0,1,0,0,0,2,1,2,2,2,2,2,3,2,2,3,2,2,2,2,0,2,0,2,1,1.5
44,1,0,1,1,1,3,1,3,3,0,2,3,3,1,0,2,1,3,3,3,2,0,2,2,0,2,2,1,2,0,0,0,2,1,3,1,2,0,1,0,2,1,2,3,2,3,2,2,0,2,2,1,2,2,3,0,3,0,0,1,1.516666667
45,0,0,1,1,2,1,1,2,2,0,2,3,2,3,0,3,2,2,3,2,3,0,1,2,0,3,2,1,3,2,0,0,2,0,1,0,0,0,0,0,0,0,3,2,1,1,2,2,0,2,3,0,0,3,2,0,2,3,2,2,1.366666667
46,2,0,0,0,0,1,0,3,1,0,1,2,2,2,0,2,0,2,1,3,2,1,0,1,1,2,2,2,1,1,0,0,3,0,1,0,0,0,1,0,2,1,2,2,4,2,3,2,2,2,1,1,2,2,1,0,0,1,2,3,1.25
47,0,0,1,0,1,1,1,3,0,0,2,3,2,2,0,1,0,3,2,2,2,0,0,1,0,3,2,1,1,0,0,0,2,0,2,1,1,0,0,0,0,0,2,2,2,2,2,3,2,3,3,3,3,0,2,0,1,1,3,3,1.283333333
48,1,2,0,0,1,3,0,2,1,0,2,2,3,3,0,2,0,3,3,3,3,0,0,1,2,2,2,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,2,3,3,2,2,2,3,2,2,2,1,2,2,0,0,0,2,0,1.266666667
49,1,1,0,0,0,2,0,2,2,0,2,3,2,1,0,2,0,2,3,2,3,0,2,1,0,2,2,2,1,1,0,0,2,0,1,0,0,0,0,0,1,0,2,2,2,3,2,2,1,3,3,2,0,2,2,0,0,1,2,2,1.233333333
50,2,0,2,0,1,2,0,2,3,0,2,3,2,3,0,1,0,2,1,2,2,1,0,0,0,2,2,1,0,0,0,0,2,1,1,0,0,1,1,0,0,0,3,1,3,2,2,2,1,2,3,1,1,2,2,0,1,0,2,1,1.183333333
51,0,0,0,0,0,0,2,3,2,0,2,2,3,1,0,0,0,3,3,3,3,1,0,1,1,2,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2,2,1,3,3,1,2,2,2,2,2,1,1,0,1,0,2,3,1.133333333
52,0,1,1,0,1,1,3,3,3,1,0,3,2,3,0,0,0,3,3,2,2,1,0,0,0,2,1,2,0,1,0,0,0,1,1,1,1,0,0,0,0,0,2,1,2,2,2,2,2,3,3,3,1,3,2,0,0,0,2,3,1.266666667
53,1,1,1,0,1,1,2,2,2,1,0,3,3,1,0,0,0,2,2,1,2,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,1,2,2,3,2,3,0,1,1,2,0,1,0,3,2,1.016666667
54,0,1,0,0,1,0,3,3,2,0,0,3,2,2,0,0,0,1,2,0,3,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,2,2,2,1,3,2,2,0,1,2,1,0,2,0,2,2,0.95
55,1,1,0,1,1,0,3,2,1,0,0,3,3,1,1,0,0,1,2,0,2,0,0,1,0,2,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,0,3,2,2,2,2,2,3,0,0,2,2,0,0,0,2,2,0.966666667
56,1,0,0,0,0,0,3,3,0,0,0,3,3,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,2,0,0,0,0,0,2,0,2,3,2,0,3,2,2,2,0,1,1,0,1,0,2,1,0.85
57,0,1,0,0,1,1,3,1,0,0,0,2,2,0,3,0,0,1,2,0,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,3,0,1,0,2,0,0,2,0,3,2,2,3,1,3,3,1,1,2,3,0,1,0,3,1,1
58,0,0,0,0,1,1,3,2,1,0,0,3,3,0,3,0,0,2,3,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,3,0,0,2,0,2,2,1,1,0,2,2,1,1,1,2,0,0,0,1,2,0.9
59,0,0,2,1,0,0,2,2,0,0,0,2,2,0,3,0,0,1,2,0,2,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,1,2,0,0,2,0,2,2,0,3,2,3,2,1,1,1,3,1,0,0,2,3,0.916666667
60,0,2,0,1,0,1,1,3,1,0,0,2,2,0,1,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,1,0,1,2,1,0,3,1,2,2,0,1,0,0,0,0,1,1,0.766666667
61,1,1,0,1,2,1,3,2,0,0,0,3,2,0,2,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,0,0,2,1,1,0,0,3,0,0,2,0,1,1,2,3,2,3,3,1,1,2,1,0,0,0,2,3,0.966666667
62,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,1,0,3,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,3,0,0,2,0,1,1,2,1,1,1,2,1,0,3,1,0,0,0,1,3,0.666666667
63,1,2,0,1,1,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,2,0,1,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,2,1,1,2,1,1,2,1,0,2,0,0,0,1,1,0.666666667
64,1,1,0,1,3,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,1,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,2,0,0,1,0,1,1,2,2,1,0,1,1,0,1,0,0,0,1,1,2,0.633333333
65,2,0,0,1,3,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,3,0,3,1,1,0,0,1,2,0,3,0,0,2,1,0,0,0,0,3,0,0,2,0,2,1,3,3,1,0,2,1,1,1,1,0,0,0,1,2,0.9
66,2,1,0,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,2,1,0,3,0,0,2,0,0,1,0,0,2,0,0,2,0,1,2,2,2,2,0,0,1,0,0,1,0,0,0,0,3,0.7
67,2,1,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,2,0,1,2,1,1,3,0,0,0,1,1,0,0,0,2,0,0,1,0,1,2,2,2,1,0,1,1,1,1,0,0,0,0,1,1,0.733333333
68,3,0,1,1,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,1,1,3,0,0,0,1,1,0,0,0,1,0,0,2,0,1,2,2,2,0,0,2,0,1,1,2,0,1,0,1,2,0.816666667
69,2,2,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,1,1,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,2,0,0,1,1,0,3,1,0,0,0,1,1,0.633333333
70,3,2,0,0,2,1,2,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,0,2,1,0,2,0,0,1,2,0,0,0,0,1,0,0,1,0,0,2,2,2,0,0,1,3,1,2,1,0,0,0,1,2,0.783333333
71,3,1,0,1,3,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,1,0,0,1,1,2,1,1,0,0,0,1,1,0.583333333
72,3,0,0,1,2,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,2,2,0,0,2,0,2,2,1,0,0,0,0,2,0.65
73,3,2,1,2,1,1,0,0,1,0,1,0,0,1,2,2,0,0,0,0,2,1,0,2,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,1,0,0,2,0,0,2,2,1,0,0,0,1,2,2,1,0,0,1,1,2,0.783333333
74,3,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,1,2,2,0,1,0,2,1,0,0,0,0,1,0,0,0,3,2,2,0,0,2,0,2,1,0,0,0,0,0,2,0.65
75,3,1,3,1,1,0,0,0,2,0,0,1,0,0,0,0,2,2,1,0,0,1,0,0,0,0,1,1,0,1,2,2,0,1,1,2,0,0,0,0,0,3,1,0,0,2,2,1,0,0,1,1,2,1,1,0,0,1,0,2,0.783333333
76,2,1,2,1,0,0,0,0,1,0,0,1,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,2,4,0,1,3,2,0,0,0,0,0,1,1,0,0,1,2,2,0,1,0,0,2,0,1,0,1,1,0,2,0.733333333
77,3,1,3,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,0,1,0,0,2,1,0,3,0,2,0,3,0.683333333
78,2,1,4,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,2,0,1,1,2,0,2,3,0,0,0,2,0,0,0,0,0,2,0,1,0,0,3,2,0,1,1,0,3,2,0,0,2,3,1,3,0.883333333
79,3,0,3,0,1,1,0,0,1,0,0,2,0,0,2,0,0,2,0,1,0,5,0,1,0,0,2,0,1,1,2,3,1,0,0,1,2,0,0,0,0,1,1,1,0,1,2,1,0,1,1,0,0,2,0,0,2,1,0,3,0.866666667
80,2,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,1,0,3,0,2,0,1,1,1,1,1,1,1,2,1,0,2,0,0,0,0,0,1,0,2,0,2,2,3,0,0,3,2,1,1,0,1,1,1,0,1,0.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
